title,description,genre,published_date,authors,processed_description
the wind in the willows,the escapades of four animal friends who live along a river in the english countrysidetoad mole rat and badger,fantasy,1993.0,kenneth grahame,escapade four animal friend live along river english countrysidetoad mole rat badger
eragon,14 compact discs 16 hours 23 minutes unabridged audio cd,fantasy,2006.0,christopher paolini,14 compact disc 16 hour 23 minute unabridged audio cd
guardians of the west,garion the king of riva finds himself caught between the dark prophecy and the prophecy of light when he searches a previously obscure part of the mrin codex to identify someone or something called zandramas,fantasy,1987.0,david eddings,garion king riva find caught dark prophecy prophecy light search previously obscure part mrin codex identify someone something called zandramas
the illustrated man,eighteen science fiction stories,fantasy,1951.0,ray bradbury,eighteen science fiction story
bridge to terabithia,one of the most celebrated newbery medal winners of all time gets a magical makeover in this new edition complete with a readers guide thats ideal for teachers book clubs or anyone looking for insight into this favorite book,fantasy,1979.0,katherine paterson,one celebrated newbery medal winner time get magical makeover new edition complete reader guide thats ideal teacher book club anyone looking insight favorite book
throne of glass,after serving out a year of hard labor in the salt mines of endovier for her crimes 18yearold assassin celaena sardothien is dragged before the crown prince prince dorian offers her her freedom on one condition she must act as his champion in a competition to find a new royal assassin her opponents are menthieves and assassins and warriors from across the empire each sponsored by a member of the kings council if she beats her opponents in a series of eliminations shell serve the kingdom for three years and then be granted her freedom celaena finds her training sessions with the captain of the guard westfall challenging and exhilirating but shes bored stiff by court life things get a little more interesting when the prince starts to show interest in her but its the gruff captain westfall who seems to understand her best then one of the other contestants turns up dead quickly followed by another can celaena figure out who the killer is before she becomes a victim as the young assassin investigates her search leads her to discover a greater destiny than she could possibly have imagined,fantasy,2012.0,sarah j maas,serving year hard labor salt mine endovier crime 18yearold assassin celaena sardothien dragged crown prince prince dorian offer freedom one condition must act champion competition find new royal assassin opponent menthieves assassin warrior across empire sponsored member king council beat opponent series elimination shell serve kingdom three year granted freedom celaena find training session captain guard westfall challenging exhilirating shes bored stiff court life thing get little interesting prince start show interest gruff captain westfall seems understand best one contestant turn dead quickly followed another celaena figure killer becomes victim young assassin investigates search lead discover greater destiny could possibly imagined
harry potter and the deathly hallows,the final adventure in jk rowlings phenomenal bestselling harry potter book seriesprovided by publisher,fantasy,2007.0,j k rowling,final adventure jk rowlings phenomenal bestselling harry potter book seriesprovided publisher
the assassins blade,celaena sardothien is adarlans most feared assassin as part of the assassins guild her allegiance is to her master arobynn hamel yet celaena listens to no one and trusts only her fellow killerforhire sam in these actionpacked prequel novellas  together in one edition for the first time  celaena embarks on five daring missions they take her from remote islands to hostile deserts where she fights to liberate slaves and seeks to avenge the tyrannous but she is acting against arobynns orders and could suffer an unimaginable punishment for such treachery explore the dark underworld of this kickass heroine and find out how the legend begins in the five pageturning prequel novellas to the new york times bestselling throne of glass series,fantasy,2014.0,sarah j maas,celaena sardothien adarlans feared assassin part assassin guild allegiance master arobynn hamel yet celaena listens one trust fellow killerforhire sam actionpacked prequel novella together one edition first time celaena embarks five daring mission take remote island hostile desert fight liberate slave seek avenge tyrannous acting arobynns order could suffer unimaginable punishment treachery explore dark underworld kickass heroine find legend begin five pageturning prequel novella new york time bestselling throne glass series
an ember in the ashes,book one in the new york times bestselling series one of time magazines 100 best fantasy books of all time instant new york times bestseller from 1 new york times bestselling author sabaa tahir amazons best young adult book of 2015 peoples choice award winner  favorite fantasy bustles best young adult book of 2015 this novel is a harrowing haunting reminder of what it means to be human  and how hope might be kindled in the midst of oppression and fear  the washington post an ember in the ashes could launch sabaa tahir into jk rowling territoryit has the addictive quality of the hunger games combined with the fantasy of harry potter and the brutality of game of thronespublic radio international an ember in the ashes glows burns and smoldersas beautiful and radiant as it is searinghuffington post a worthy novel  and one as brave as its characters the new york times book review laia is a slave elias is a soldier neither is free under the martial empire defiance is met with death those who do not vow their blood and bodies to the emperor risk the execution of their loved ones and the destruction of all they hold dear it is in this brutal world inspired by ancient rome that laia lives with her grandparents and older brother the family ekes out an existence in the empires impoverished backstreets they do not challenge the empire theyve seen what happens to those who do but when laias brother is arrested for treason laia is forced to make a decision in exchange for help from rebels who promise to rescue her brother she will risk her life to spy for them from within the empires greatest military academy there laia meets elias the schools finest soldierand secretly its most unwilling elias wants only to be free of the tyranny hes being trained to enforce he and laia will soon realize that their destinies are intertwinedand that their choices will change the fate of the empire itself,fantasy,2020.0,sabaa tahir,book one new york time bestselling series one time magazine 100 best fantasy book time instant new york time bestseller 1 new york time bestselling author sabaa tahir amazon best young adult book 2015 people choice award winner favorite fantasy bustle best young adult book 2015 novel harrowing haunting reminder mean human hope might kindled midst oppression fear washington post ember ash could launch sabaa tahir jk rowling territoryit addictive quality hunger game combined fantasy harry potter brutality game thronespublic radio international ember ash glow burn smoldersas beautiful radiant searinghuffington post worthy novel one brave character new york time book review laia slave elia soldier neither free martial empire defiance met death vow blood body emperor risk execution loved one destruction hold dear brutal world inspired ancient rome laia life grandparent older brother family ekes existence empire impoverished backstreets challenge empire theyve seen happens laias brother arrested treason laia forced make decision exchange help rebel promise rescue brother risk life spy within empire greatest military academy laia meet elia school finest soldierand secretly unwilling elia want free tyranny he trained enforce laia soon realize destiny intertwinedand choice change fate empire
the borrowers,miniature people live in an old country house and provide for themselves by borrowing things from the humans until they are forced to emigrate from their home under the clock,fantasy,1953.0,mary norton,miniature people live old country house provide borrowing thing human forced emigrate home clock
the cat in the hat,the cat in the hat entertains two children on a rainy day,fantasy,2012.0,dr seuss,cat hat entertains two child rainy day
the ice dragon,a tale of courage and sacrifice set in the world of the 1 new york times bestselling series a song of ice and fire basis for hbos megahit game of thrones,fantasy,2014.0,george r r martin,tale courage sacrifice set world 1 new york time bestselling series song ice fire basis hbos megahit game throne
prince caspian movie tiein edition rack,this movie tiein edition of the full original prince caspian novel will be rack size and feature a movie cover and an 8page movie still insert,fantasy,2008.0,c s lewis,movie tiein edition full original prince caspian novel rack size feature movie cover 8page movie still insert
a wrinkle in time,this special edition ofa wrinkle in timeincludes a new essay that explores the science behind the fantasy rediscover one of the most beloved childrens books of all timea wrinkle in timeby madeleine lengle meg murray her little brother charles wallace and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door he claims to have been blown off course and goes on to tell them that there is such a thing as a tesseract which if you didnt know is a wrinkle in time megs father had been experimenting with timetravel when he suddenly disappeared will meg charles wallace and their friend calvin outwit the forces of evil as they search through space for their father,fantasy,1973.0,madeleine lengle,special edition ofa wrinkle timeincludes new essay explores science behind fantasy rediscover one beloved childrens book timea wrinkle timeby madeleine lengle meg murray little brother charles wallace mother midnight snack dark stormy night unearthly stranger appears door claim blown course go tell thing tesseract didnt know wrinkle time meg father experimenting timetravel suddenly disappeared meg charles wallace friend calvin outwit force evil search space father
moomin mymble and little my,finnish artist tove janssons moomin stories have been continually in print for more than half a century in 35 languages they are among europes best loved and enduring childrens classics and through the tv animation bbc2 the warmhearted whimsical creatures of moomin valley have been brought to a new younger british audienceintroducing the first sort of childrens classic in a new english version by sophie hannah sort of books proudly presents the original full colour moomin picture book with its irresistible cutout page designs and playful rhyming text in a new version by one of britains star poets,fantasy,2001.0,tove jansson,finnish artist tove janssons moomin story continually print half century 35 language among europe best loved enduring childrens classic tv animation bbc2 warmhearted whimsical creature moomin valley brought new younger british audienceintroducing first sort childrens classic new english version sophie hannah sort book proudly present original full colour moomin picture book irresistible cutout page design playful rhyming text new version one britain star poet
the talisman,on a brisk autumn day a thirteenyearold boy stands on the shores of the gray atlantic near a silent amusement park and a fading ocean resort called the alhambra the past has driven jack sawyer here his father is gone his mother is dying and the world no longer makes sense but for jack everything is about to change for he has been chosen to make a journey back across americaand into another realm one of the most influential and heralded works of fantasy ever written the talisman is an extraordinary novel of loyalty awakening terror and mystery jack sawyer on a desperate quest to save his mothers life must search for a prize across an epic landscape of innocents and monsters of incredible dangers and even more incredible truths the prize is essential but the journey means even more let the quest begin   ,fantasy,1984.0,stephen king peter straub,brisk autumn day thirteenyearold boy stand shore gray atlantic near silent amusement park fading ocean resort called alhambra past driven jack sawyer father gone mother dying world longer make sense jack everything change chosen make journey back across americaand another realm one influential heralded work fantasy ever written talisman extraordinary novel loyalty awakening terror mystery jack sawyer desperate quest save mother life must search prize across epic landscape innocent monster incredible danger even incredible truth prize essential journey mean even let quest begin
the golden compass,accompanied by her daemon lyra belacqua sets out to prevent her best friend and other kidnapped children from becoming the subject of gruesome experiments in the far north,fantasy,1997.0,philip pullman,accompanied daemon lyra belacqua set prevent best friend kidnapped child becoming subject gruesome experiment far north
legendborn,includes a short story from selwyn kanes point of view,fantasy,2022.0,tracy deonn,includes short story selwyn kanes point view
smith of wootton major,the author creates the magical story of the village of wootton major which hosts a special feast every twentyfour years at which one fortunate citizen is admitted into the land of the faery,fantasy,1967.0,john ronald reuel tolkien,author creates magical story village wootton major host special feast every twentyfour year one fortunate citizen admitted land faery
crown of midnight,it puts this entire castle in jeopardy  and the life of your friend,fantasy,2013.0,sarah j maas,put entire castle jeopardy life friend
the tin woodman of oz,dorothy tries to rescue the tin woodman and scarecrow from the giantess who has changed them into a tin owl and a teddy bear and is using them for playthings,fantasy,1918.0,lyman frank baum,dorothy try rescue tin woodman scarecrow giantess changed tin owl teddy bear using plaything
tales from earthsea,exploring the legend of earthseas history people languages literature and magic this collection of four magical stories is now available in a paperback edition,fantasy,2002.0,ursula k le guin,exploring legend earthseas history people language literature magic collection four magical story available paperback edition
the little prince,a man has an accident in the sahara desert and encounters the little prince,fantasy,2000.0,,man accident sahara desert encounter little prince
through the lookingglass,publisher description,fantasy,1993.0,lewis carroll,publisher description
peter pan,the adventures of peter pan the boy who would not grow up,fantasy,2001.0,j m barrie,adventure peter pan boy would grow
the lion the witch and the wardrobe,four english school children enter the magic land of narnia through the back of a wardrobe and assist aslan the golden lion in defeating the white witch who has cursed the land with eternal winter,fantasy,2001.0,clive staples lewis pauline baynes,four english school child enter magic land narnia back wardrobe assist aslan golden lion defeating white witch cursed land eternal winter
the farthest shore,when the prince of enlad declares the wizards have forgotten their spells ged sets out to test the ancient prophecies of earthsea,fantasy,2012.0,ursula k le guin,prince enlad declares wizard forgotten spell ged set test ancient prophecy earthsea
where the wild things are,max is sent to bed without supper and imagines sailing away to the land of wild things where he is made king winner 1964 caldecott medalnotable childrens books of 19401970 ala1981 boston globehorn book award for illustration1963 1982 fanfare honor list the horn bookbest illustrated childrens books of 1963 1982 nyta reading rainbow selection1964 lewis carroll shelf awardchildrens books of 1981 library of congress1981 childrens books ny public library100 books for reading and sharing 1988 ny public library,fantasy,1963.0,maurice sendak,max sent bed without supper imago sailing away land wild thing made king winner 1964 caldecott medalnotable childrens book 19401970 ala1981 boston globehorn book award illustration1963 1982 fanfare honor list horn bookbest illustrated childrens book 1963 1982 nyta reading rainbow selection1964 lewis carroll shelf awardchildrens book 1981 library congress1981 childrens book ny public library100 book reading sharing 1988 ny public library
house of many ways,charmain baker is in over her head looking after greatuncle williams tiny cottage while hes ill should have been easy but greatuncle william is better known as the royal wizard norland and his house bends space and time its single door leads to any number of placesthe bedrooms the kitchen the caves under the mountains the past and the royal mansion to name just a few by opening that door charmain has become responsible for not only the house but for an extremely magical stray dog a muddled young apprentice wizard and a box of the kings most treasured documents she has encountered a terrifying beast called a lubbock irritated a clan of small blue creatures and wound up smack in the middle of an urgent search the king and his daughter are desperate to find the lost fabled elfgiftso desperate that theyve even called in an intimidating sorceress named sophie to help and where sophie is can the wizard howl and fire demon calcifer be far behind of course with that magical family involved theres bound to be chaosand unexpected revelations no one will be more surprised than charmain by what howl and sophie discover,fantasy,2008.0,diana wynne jones,charmain baker head looking greatuncle williams tiny cottage he ill easy greatuncle william better known royal wizard norland house bend space time single door lead number placesthe bedroom kitchen cave mountain past royal mansion name opening door charmain become responsible house extremely magical stray dog muddled young apprentice wizard box king treasured document encountered terrifying beast called lubbock irritated clan small blue creature wound smack middle urgent search king daughter desperate find lost fabled elfgiftso desperate theyve even called intimidating sorceress named sophie help sophie wizard howl fire demon calcifer far behind course magical family involved there bound chaosand unexpected revelation one surprised charmain howl sophie discover
little black sambo,the classic story by helen bannerman of a young indian lad who meets up with a tiger and turns him into butter,fantasy,1921.0,helen bannerman,classic story helen bannerman young indian lad meet tiger turn butter
the black cauldron,taran the gallant assistant pigkeeper and his companions once again fare forth to destroy the evil that threatens their beloved country prydain a wise and wondrous tale written in epic fashion booklist,fantasy,1980.0,lloyd alexander,taran gallant assistant pigkeeper companion fare forth destroy evil threatens beloved country prydain wise wondrous tale written epic fashion booklist
the life and adventures of santa claus,a human foundling child adopted by a woodnymph and raised by the creatures who inhabit a magical forest grows up to be the immortal santa claus,fantasy,1902.0,lyman frank baum,human foundling child adopted woodnymph raised creature inhabit magical forest grows immortal santa claus
lucindas secret,with goblins trolls and the house boggart all trying to get them the grace children turn to great aunt lucinda for help,fantasy,2003.0,tony diterlizzi holly black,goblin troll house boggart trying get grace child turn great aunt lucinda help
the hobbit or there and back again,this definitive paperback edition features nine illustrations and two maps drawn by jrr tolkien and a preface by christopher tolkien bilbo baggins is a hobbit who enjoys a comfortable unambitious life rarely travelling further than the pantry of his hobbithole in bag end but his contentment is disturbed when the wizard gandalf and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey there and back again they have a plot to raid the treasure hoard of smaug the magnificent a large and very dangerous dragon the prelude to the lord of the rings the hobbit has sold many millions of copies since its publication in 1937 establishing itself as one of the most beloved and influential books of the twentieth century,fantasy,1996.0,john ronald reuel tolkien,definitive paperback edition feature nine illustration two map drawn jrr tolkien preface christopher tolkien bilbo baggins hobbit enjoys comfortable unambitious life rarely travelling pantry hobbithole bag end contentment disturbed wizard gandalf company thirteen dwarf arrive doorstep one day whisk away unexpected journey back plot raid treasure hoard smaug magnificent large dangerous dragon prelude lord ring hobbit sold many million copy since publication 1937 establishing one beloved influential book twentieth century
the tombs of atuan,with a new afterword from the authorjkt,fantasy,2012.0,ursula k le guin,new afterword authorjkt
prince caspian,peter susan edmund and lucy return to narnia once more this time to help rescue the rightful heir to the throne from his evil uncle miraz,fantasy,2009.0,clive staples lewis,peter susan edmund lucy return narnia time help rescue rightful heir throne evil uncle miraz
the drawing of the three,in 1978 stephen king introduced the world to the last gunslinger roland of gilead nothing has been the same since more than twenty years later the quest for the dark tower continues to take readers on a wildly epic ride through parallel worlds and across time roland must brave desolate wastelands and endless deserts drifting into the unimaginable and the familiar a classic tale of colossal scopecrossing over terrain from the stand the eyes of the dragon insomnia the talisman black house hearts in atlantis salems lot and other familiar king hauntsthe adventure takes hold with the turn of each page and the tower awaits the second volume in the epic dark tower series the drawing of the three while pursuing his quest for the dark tower through a world that is a nightmarishly distorted mirror image of our own roland is drawn through a mysterious door that brings him into contemporary america here he links forces with the defiant young eddie dean and with the beautiful brilliant and brave odetta holmes in a savage struggle against underworld evil and otherworldly enemies once again stephen king has masterfully interwoven dark evocative fantasy and icy realism,fantasy,1987.0,stephen king,1978 stephen king introduced world last gunslinger roland gilead nothing since twenty year later quest dark tower continues take reader wildly epic ride parallel world across time roland must brave desolate wasteland endless desert drifting unimaginable familiar classic tale colossal scopecrossing terrain stand eye dragon insomnia talisman black house heart atlantis salem lot familiar king hauntsthe adventure take hold turn page tower awaits second volume epic dark tower series drawing three pursuing quest dark tower world nightmarishly distorted mirror image roland drawn mysterious door brings contemporary america link force defiant young eddie dean beautiful brilliant brave odetta holmes savage struggle underworld evil otherworldly enemy stephen king masterfully interwoven dark evocative fantasy icy realism
the story of doctor dolittle,an abridged version of the adventures of a kindhearted doctor who is fond of animals and understands their language as he travels to africa with some of his favorite pets to cure the monkeys of a terrible sickness,fantasy,2005.0,hugh lofting,abridged version adventure kindhearted doctor fond animal understands language travel africa favorite pet cure monkey terrible sickness
harry potter and the philosophers stone,harry potter is an ordinary boy who lives in a cupboard under the stairs at his aunt petunia and uncle vernons house which he thinks is normal for someone like him whos parents have been killed in a car crash he is bullied by them and his fat spoilt cousin dudley and lives a very unremarkable life with only the odd hiccup like his hair growing back overnight to cause him much to think about that is until an owl turns up with a letter addressed to harry and all hell breaks loose he is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day read and find out how harry discovers his true heritage at hogwarts school of wizardry and witchcraft the reason behind his parents mysterious death who is out to kill him and how he uncovers the most amazing secret of all time the fabled philosophers stone all this and muggles too now what are they,fantasy,1997.0,j k rowling,harry potter ordinary boy life cupboard stair aunt petunia uncle vernons house think normal someone like who parent killed car crash bullied fat spoilt cousin dudley life unremarkable life odd hiccup like hair growing back overnight cause much think owl turn letter addressed harry hell break loose literally rescued world nothing seems magic lesson order day read find harry discovers true heritage hogwarts school wizardry witchcraft reason behind parent mysterious death kill uncovers amazing secret time fabled philosopher stone muggles
six of crows,six dangerous outcasts and one impossible heist kazs crew is the only thing that might stand between the world and destruction if the crew members dont kill each other first,fantasy,2018.0,leigh bardugo,six dangerous outcast one impossible heist kazs crew thing might stand world destruction crew member dont kill first
the lion the witch and the wardrobe movie tiein edition adult,the new adult softcover edition of the lion the witch and the wardrobe now has a movie still cover and an eightpage movie still insert,fantasy,2005.0,c s lewis,new adult softcover edition lion witch wardrobe movie still cover eightpage movie still insert
the wonderful wizard of oz,the wonderful wizard of oz remains one of the worlds most beloved and widely read books throughout a century of remarkable change the popularity of l frank baums classic tale has endured and grown embraced by generation after generation of children and the young at heart to honour the centennial of its publication in 1900 the university press of kansas is presenting this special anniversary edition that combines baums original text with the contributions of two renowned artists book illustrator michael mccurdy and writer ray bradbury the book embraces and celebrates the oftkidded connection between baums wondrous story and the state of kansas,fantasy,1999.0,lyman frank baum,wonderful wizard oz remains one world beloved widely read book throughout century remarkable change popularity l frank baum classic tale endured grown embraced generation generation child young heart honour centennial publication 1900 university press kansa presenting special anniversary edition combine baum original text contribution two renowned artist book illustrator michael mccurdy writer ray bradbury book embrace celebrates oftkidded connection baum wondrous story state kansa
moominpappa at sea,leave moominvalley is it possible yes even the moomin family need a change of scenery sometimes so theyre off to live in a lighthouse on a tiny island here they find space to grow and to do things they couldnt in their comfortable cluttered valley home as they discover their new home the family also discover surprising and wonderfully funny new things about themselves,fantasy,2010.0,tove jansson,leave moominvalley possible yes even moomin family need change scenery sometimes theyre live lighthouse tiny island find space grow thing couldnt comfortable cluttered valley home discover new home family also discover surprising wonderfully funny new thing
bartholomew and the oobleck,the king tired of rain snow sun and fog commands his magicians to make something else come down from the sky but when oobleck falls in sticky greenish droplets bartholomew cubbins shames the king and saves the kingdom,fantasy,1949.0,,king tired rain snow sun fog command magician make something else come sky oobleck fall sticky greenish droplet bartholomew cubbins shame king save kingdom
the castle of llyr,when princess eilonwy is kidnapped taran and his companions seek to rescue her,fantasy,2006.0,lloyd alexander,princess eilonwy kidnapped taran companion seek rescue
the handmaids tale,the republic of gilead offers offred only one function to breed  if she deviates she will like dissenters be hanged at the wall or sent out to die slowly of radiation sickness but even a repressive state cannot obliterate desire  neither offreds n,fantasy,1996.0,margaret atwood,republic gilead offer offred one function breed deviate like dissenter hanged wall sent die slowly radiation sickness even repressive state obliterate desire neither offreds n
moominsummer madness,when a flood sweeps through the valley the moomins must find a new house and with typical moomin good luck one just happens to be floating by it looks normal enough but there are curtains where one wall should be strange rows of lights and other odd amenities then moomintroll and the snork maiden disappear and the family realize that the house may hold the answers to more than they ever dreamed,fantasy,2010.0,tove jansson,flood sweep valley moomins must find new house typical moomin good luck one happens floating look normal enough curtain one wall strange row light odd amenity moomintroll snork maiden disappear family realize house may hold answer ever dreamed
comet in moominland,when moomintroll learns that a comet will be passing by he and his friend sniff travel to the observatory on the lonely mountains to consult the professors along the way they have many adventures but the greatest adventure of all awaits them when they learn that the comet is headed straight for their beloved moominvalley,fantasy,2010.0,tove jansson,moomintroll learns comet passing friend sniff travel observatory lonely mountain consult professor along way many adventure greatest adventure awaits learn comet headed straight beloved moominvalley
rangers apprentice,on a mission to pay the ransom of a new ally apprentice will and his father find themselves in a desert wasteland awash with enemies,fantasy,2005.0,john anthony flanagan john f flanagan,mission pay ransom new ally apprentice father find desert wasteland awash enemy
that hideous strength,mark studdock joins an organization called nice which aims to control all human life his wife meanwhile has prophetic dreams about a decapitated scientist alcasan mark discovers the truth of the dreams when he meets the literal head of alcasan which is being kept alive by infusions of blood,fantasy,1946.0,clive staples lewis,mark studdock join organization called nice aim control human life wife meanwhile prophetic dream decapitated scientist alcasan mark discovers truth dream meet literal head alcasan kept alive infusion blood
finn family moomintroll,it is spring in the valley and the moomins are ready for adventure moomintroll and his friends snufkin and sniff find the hobgoblins top hat all shiny and new and just waiting to be taken home they soon realize that his is no ordinary hat it can turn anythingor anyoneinto something else,fantasy,2010.0,tove jansson,spring valley moomins ready adventure moomintroll friend snufkin sniff find hobgoblin top hat shiny new waiting taken home soon realize ordinary hat turn anythingor anyoneinto something else
james and the giant peach,a young boy escapes from two wicked aunts and embarks on a series of adventures with six giant insects he meets inside a giant peach,fantasy,1973.0,roald dahl,young boy escape two wicked aunt embarks series adventure six giant insect meet inside giant peach
where the wild things are,in the forty years since max first cried let the wild rumpus start maurice sendaks classic picture book has become one of the most highly acclaimed and bestloved childrens books of all time now in celebration of this special anniversary introduce a new generation to maxs imaginative journey to where the wild things are,fantasy,1988.0,,forty year since max first cried let wild rumpus start maurice sendaks classic picture book become one highly acclaimed bestloved childrens book time celebration special anniversary introduce new generation max imaginative journey wild thing
the horse and his boy,our hardcover and paperback digest editions of the chronicles of narnia are now graced with new jacket and cover art by 2time caldecott medalist david wiesner,fantasy,1970.0,clive staples lewis,hardcover paperback digest edition chronicle narnia graced new jacket cover art 2time caldecott medalist david wiesner
the city of ember,in the year 241 twelveyearold lina trades jobs on assignment day to be a messenger to run to new places in her decaying but beloved city perhaps even to glimpse unknown regions,fantasy,2003.0,jeanne duprau,year 241 twelveyearold lina trade job assignment day messenger run new place decaying beloved city perhaps even glimpse unknown region
a winters promise,when ophelia who can travel through mirrors is betrothed to an influential member of a faraway clan she journeys to the towering city of citaceleste where she realizes she has become a pawn in a dangerous political game,fantasy,2018.0,christelle dabos,ophelia travel mirror betrothed influential member faraway clan journey towering city citaceleste realizes become pawn dangerous political game
charlottes web,wilbur the pig is desolate when he discovers that he is destined to be the farmers christmas dinner until his spider friend charlotte decides to help him,fantasy,1997.0,elwyn brooks white,wilbur pig desolate discovers destined farmer christmas dinner spider friend charlotte decides help
tales from moominvalley,here are nine delightfully funny stories about the triumphs and tribulations of the citizens of moominvalley readers will discover how the moomin family save young ninny from permanent invisibility and what happens when moomintroll catches the last dragon in the world some of the characters in these tales will be brandnew to moomin fans but there are lots of old friends to meet as well,fantasy,2010.0,tove jansson,nine delightfully funny story triumph tribulation citizen moominvalley reader discover moomin family save young ninny permanent invisibility happens moomintroll catch last dragon world character tale brandnew moomin fan lot old friend meet well
neverseen,sophie battles the rebelsand recovers dark memories from her past she must question everything to find a truth that will either save her worldor shatter it,fantasy,2016.0,shannon messenger,sophie battle rebelsand recovers dark memory past must question everything find truth either save worldor shatter
the field guide,when the grace children go to stay at their greataunt and other creatures and begin to have some unusual experiences,fantasy,2003.0,tony diterlizzi holly black,grace child go stay greataunt creature begin unusual experience
the brothers lionheart,two brothers share many adventures after their death when they are reunited in nangiyala the land from which sagas come,fantasy,2004.0,astrid lindgren,two brother share many adventure death reunited nangiyala land saga come
the fantastic flying books of mr morris lessmore,morris lessmore loved words he loved stories he loved books but every story has its upsets everything in morris lessmores life including his own story is scattered to the winds but the power of story will save the day,fantasy,2012.0,william joyce,morris lessmore loved word loved story loved book every story upset everything morris lessmores life including story scattered wind power story save day
the winter king,a retelling of the arthurian legend from the point of view of derfel cadarn one of arthurs warriors who later becomes a monk,fantasy,1997.0,bernard cornwell,retelling arthurian legend point view derfel cadarn one arthur warrior later becomes monk
the gremlins,friendly little gremlins help a royal air force fighter pilot in world war ii,fantasy,2006.0,roald dahl,friendly little gremlin help royal air force fighter pilot world war ii
the foot book,beginners text describes all sorts of feet doing all sorts of things,fantasy,1968.0,dr seuss,beginner text describes sort foot sort thing
winniethepooh,little ones who love winniethepooh and terrific textures to touch and feel will delight in this years winniethepoohs touch and feel on every sturdy page baby will have endless interactive fun with ten tactile elements ranging from poohs sticky honey to piglets rubbery red balloon to a mirror displaying tiggers stripy reflection the youngest pooh admirers wont be able to keep their hands off this charming book filled with ernest h shepards bright and lively fullcolor artwork and classic vignettes from a a milnes timeless volumesand the mirth and merriment of winniethepooh,fantasy,1954.0,alan alexander milne,little one love winniethepooh terrific texture touch feel delight year winniethepoohs touch feel every sturdy page baby endless interactive fun ten tactile element ranging poohs sticky honey piglet rubbery red balloon mirror displaying tiggers stripy reflection youngest pooh admirer wont able keep hand charming book filled ernest h shepard bright lively fullcolor artwork classic vignette milne timeless volumesand mirth merriment winniethepooh
