title,description,genre,published_date,authors
the tales of beedle the bard,and as for this book said hermione the tales of beedle the bard irsquove never even heard of them yoursquove never heard of the tales of beedle the bard said ron incredulously youre kidding right taken from harry potter and the deathly hallows bloomsbury in association with the childrens high level group is delighted to announce the tales of beedle the bard the first new book from j k rowling since the publication of the final book in the harry potter series harry potter and the deathly hallows the tales of beedle the bard played a crucial role in assisting harry aided by his friends ron and hermione to finally defeat lord voldemort fans will be thrilled to have this opportunity to read the tales in full the tales of beedle the bard is without doubt an exciting addition to the canon of harry potter they also reveal the wonderful versatility of the author as she tackles with relish the structure and varying tones of a classic fairy tale there are five tales included in the book the tale of the three brothers which is recounted in harry potter and the deathly hallows plus four more mdash the fountain of fair fortune the warlocks hairy heart the wizard and the hopping pot and babbitty rabbitty and her cackling stump each tale has its own magical character and will variously bring delight laughter and the thrill of mortal peril the tales of beedle the bard translated from the original runes by hermione granger is introduced and illustrated by j k rowling also included are notes on the stories by professor albus dumbledore which appear by generous permission of the hogwarts headmasters archive,fantasy,2008,j k rowling
the story of doctor dolittle,an abridged version of the adventures of a kindhearted doctor who is fond of animals and understands their language as he travels to africa with some of his favorite pets to cure the monkeys of a terrible sickness,fantasy,2005,hugh lofting
harry potter and the philosophers stone,harry potter is an ordinary boy who lives in a cupboard under the stairs at his aunt petunia and uncle vernons house which he thinks is normal for someone like him whos parents have been killed in a car crash he is bullied by them and his fat spoilt cousin dudley and lives a very unremarkable life with only the odd hiccup like his hair growing back overnight to cause him much to think about that is until an owl turns up with a letter addressed to harry and all hell breaks loose he is literally rescued by a world where nothing is as it seems and magic lessons are the order of the day read and find out how harry discovers his true heritage at hogwarts school of wizardry and witchcraft the reason behind his parents mysterious death who is out to kill him and how he uncovers the most amazing secret of all time the fabled philosophers stone all this and muggles too now what are they,fantasy,1997,j k rowling
the lion the witch and the wardrobe movie tiein edition adult,the new adult softcover edition of the lion the witch and the wardrobe now has a movie still cover and an eightpage movie still insert,fantasy,2005,c s lewis
six of crows,six dangerous outcasts and one impossible heist kazs crew is the only thing that might stand between the world and destruction if the crew members dont kill each other first,fantasy,2018,leigh bardugo
the wonderful wizard of oz,the wonderful wizard of oz remains one of the worlds most beloved and widely read books throughout a century of remarkable change the popularity of l frank baums classic tale has endured and grown embraced by generation after generation of children and the young at heart to honour the centennial of its publication in 1900 the university press of kansas is presenting this special anniversary edition that combines baums original text with the contributions of two renowned artists book illustrator michael mccurdy and writer ray bradbury the book embraces and celebrates the oftkidded connection between baums wondrous story and the state of kansas,fantasy,1999,lyman frank baum
the handmaids tale,the republic of gilead offers offred only one function to breed  if she deviates she will like dissenters be hanged at the wall or sent out to die slowly of radiation sickness but even a repressive state cannot obliterate desire  neither offreds n,fantasy,1996,margaret atwood
moominpappa at sea,leave moominvalley is it possible yes even the moomin family need a change of scenery sometimes so theyre off to live in a lighthouse on a tiny island here they find space to grow and to do things they couldnt in their comfortable cluttered valley home as they discover their new home the family also discover surprising and wonderfully funny new things about themselves,fantasy,2010,tove jansson
avatar,young waterbender katara and her warrior brother sokka rescue a mysterious boy named aang who is an airbender and the longlost avatarwhose destiny it is to save the world original,fantasy,2010,michael dante dimartino bryan konietzko nickelodeon firm
the castle of llyr,when princess eilonwy is kidnapped taran and his companions seek to rescue her,fantasy,2006,lloyd alexander
the gremlins,friendly little gremlins help a royal air force fighter pilot in world war ii,fantasy,2006,roald dahl
moominsummer madness,when a flood sweeps through the valley the moomins must find a new house and with typical moomin good luck one just happens to be floating by it looks normal enough but there are curtains where one wall should be strange rows of lights and other odd amenities then moomintroll and the snork maiden disappear and the family realize that the house may hold the answers to more than they ever dreamed,fantasy,2010,tove jansson
rangers apprentice,on a mission to pay the ransom of a new ally apprentice will and his father find themselves in a desert wasteland awash with enemies,fantasy,2005,john anthony flanagan john f flanagan
comet in moominland,when moomintroll learns that a comet will be passing by he and his friend sniff travel to the observatory on the lonely mountains to consult the professors along the way they have many adventures but the greatest adventure of all awaits them when they learn that the comet is headed straight for their beloved moominvalley,fantasy,2010,tove jansson
finn family moomintroll,it is spring in the valley and the moomins are ready for adventure moomintroll and his friends snufkin and sniff find the hobgoblins top hat all shiny and new and just waiting to be taken home they soon realize that his is no ordinary hat it can turn anythingor anyoneinto something else,fantasy,2010,tove jansson
the horse and his boy,our hardcover and paperback digest editions of the chronicles of narnia are now graced with new jacket and cover art by 2time caldecott medalist david wiesner,fantasy,1970,clive staples lewis
harry potter and the chamber of secrets,witchcraft wizardry  fiction,fantasy,1999,j k rowling
charlottes web,wilbur the pig is desolate when he discovers that he is destined to be the farmers christmas dinner until his spider friend charlotte decides to help him,fantasy,1997,elwyn brooks white
a winters promise,when ophelia who can travel through mirrors is betrothed to an influential member of a faraway clan she journeys to the towering city of citaceleste where she realizes she has become a pawn in a dangerous political game,fantasy,2018,christelle dabos
the city of ember,in the year 241 twelveyearold lina trades jobs on assignment day to be a messenger to run to new places in her decaying but beloved city perhaps even to glimpse unknown regions,fantasy,2003,jeanne duprau
tales from moominvalley,here are nine delightfully funny stories about the triumphs and tribulations of the citizens of moominvalley readers will discover how the moomin family save young ninny from permanent invisibility and what happens when moomintroll catches the last dragon in the world some of the characters in these tales will be brandnew to moomin fans but there are lots of old friends to meet as well,fantasy,2010,tove jansson
neverseen,sophie battles the rebelsand recovers dark memories from her past she must question everything to find a truth that will either save her worldor shatter it,fantasy,2016,shannon messenger
the field guide,when the grace children go to stay at their greataunt and other creatures and begin to have some unusual experiences,fantasy,2003,tony diterlizzi holly black
the brothers lionheart,two brothers share many adventures after their death when they are reunited in nangiyala the land from which sagas come,fantasy,2004,astrid lindgren
the fantastic flying books of mr morris lessmore,morris lessmore loved words he loved stories he loved books but every story has its upsets everything in morris lessmores life including his own story is scattered to the winds but the power of story will save the day,fantasy,2012,william joyce
the winter king,a retelling of the arthurian legend from the point of view of derfel cadarn one of arthurs warriors who later becomes a monk,fantasy,1997,bernard cornwell
where the wild things are,in the forty years since max first cried let the wild rumpus start maurice sendaks classic picture book has become one of the most highly acclaimed and bestloved childrens books of all time now in celebration of this special anniversary introduce a new generation to maxs imaginative journey to where the wild things are,fantasy,1988,
the princess bride,a writers views on life and art are revealed in his effort to edit the childrens classic that shaped his literary ambitions,fantasy,2007,william goldman
tales from earthsea,exploring the legend of earthseas history people languages literature and magic this collection of four magical stories is now available in a paperback edition,fantasy,2002,ursula k le guin
dark carousel,in this intoxicating carpathian novel from 1 new york times bestselling author christine feehan a woman falls prey to the seductive allure of the pastand a vampire warriors intoxicating embrace the moment charlotte vintage walks into his club tariq asenguards blood is set on fire the ancient carpathian had given up hope of finding his lifemate but now he will do anything to make charlotte his own what tariq doesnt know is that charlotte is using herself and her best friend as baitto try to draw out the bloodthirsty killers who have already murdered charlottes brother and mentor charlotte is familiar with tariq not only is he one of the richest and most eligible bachelors in the city but hes also a renowned collector of old carousel horses which charlotte restores their shared passion opens charlotte up to trusting him with her life and with the desire she can no longer control but it also makes her vulnerable to a centuriesold curse that will unite her and tariq in a war against the enemies of humans and carpathians alike,fantasy,2016,christine feehan
prince caspian,four children help prince caspian and his army of talking beasts to free narnia from evil,fantasy,1995,clive staples lewis
the lightning thief,after learning that he is the son of a mortal woman and poseidon god of the sea twelveyearold percy is sent to a summer camp for demigods like himself and joins his new friends on a quest to prevent a war between the gods,fantasy,2005,rick riordan
winniethepooh,little ones who love winniethepooh and terrific textures to touch and feel will delight in this years winniethepoohs touch and feel on every sturdy page baby will have endless interactive fun with ten tactile elements ranging from poohs sticky honey to piglets rubbery red balloon to a mirror displaying tiggers stripy reflection the youngest pooh admirers wont be able to keep their hands off this charming book filled with ernest h shepards bright and lively fullcolor artwork and classic vignettes from a a milnes timeless volumesand the mirth and merriment of winniethepooh,fantasy,1954,alan alexander milne
the gunslinger,the end is near start at the beginningprepare for the climax of stephen kings careerget ready for the final dark tower books this fallstock up on the first dark tower book this summerthe i bestsellerbook one in mass market paperback from signet,fantasy,1982,stephen king
brisingr,following the colossal battle against the empires warriors eragon and saphira narrowly escaped with their lives but more awaits the rider and his dragon as eragon finds himself bound by promises he may not be able to keep including his oath to cousin,fantasy,2009,christopher paolini
the moomins and the great flood,the first moomin story moomin moominmamma and sniff search through forest and flood for long lost moominpappa in a series of adventures along the way they encounter hemulens stranded kittens and the bluehaired tulippa,fantasy,2012,tove jansson
the magic of oz,a young citizen of oz learns an important magic word and falls prey to the wickedness of the nomes exking who wants to destroy dorothy the wizard and princess ozma,fantasy,1919,lyman frank baum
the foot book,beginners text describes all sorts of feet doing all sorts of things,fantasy,1968,dr seuss
the neverending story,for use in schools and libraries only shy awkward bastian is amazed to discover that he has become a character in the mysterious book he is reading and that he has an important mission to fulfill,fantasy,1984,michael ende
to green angel tower,book three ofmemory sorrow and thorn,fantasy,1994,tad williams
sea fairies,nobody said capn bill solemnly ever sawr a mermaid an lived to tell the tale why not asked trot looking earnestly up into the old sailors face they were seated on a bench built around a giant acacia tree that grew just at the edge of the bluff below them rolled the blue waves of the great pacific a little way behind them was the house a neat frame cottage painted white and surrounded by huge eucalyptus and pepper trees still farther behind that  a quarter of a mile distant but built upon a bend of the coast  was the village overlooking a pretty bay,fantasy,2012,l frank baum
eragon eldest,in aagaesia a fifteenyearold boy of unknown lineage called eragon finds a mysterious stone that weaves his life into an intricate tapestry of destiny magic and power peopled with dragons elves and monsters,fantasy,2005,christopher paolini
the left hand of darkness,a groundbreaking work of science fiction the left hand of darkness tells the story of a lone human emissary to winter an alien world whose inhabitants can change their gender his goal is to facilitate winters inclusion in a growing intergalactic civilization but to do so he must bridge the gulf between his own views and those of the completely dissimilar culture that he encounters embracing the aspects of psychology society and human emotion on an alien world the left hand of darkness stands as a landmark achievement in the annals of intellectual science fiction copyright  libri gmbh all rights reserved,fantasy,1987,ursula k le guin
harry potter and the sorcerers stone,rescued from the outrageous neglect of his aunt and uncle a young boy with a great destiny proves his worth while attending hogwarts school for wizards and witches,fantasy,1998,j k rowling
glinda of oz,book 14 of l frank baums immortal oz series in which ozma and dorothy travel to an enchanted island to prevent an impending battle between the skeezers and the flatheads but are instead imprisoned in the city just before the island is submerged,fantasy,1920,lyman frank baum
the magicians of caprona,in the worlds of chrestomanci anything can happen this adventure takes place in the italian dukedom of caprona where spells are as slippery and as tricksy as spaghetti casa montana and casa petrocchi look after the magical business in the dukedom of caprona watched over by its magnificent guardian statue the angel the families have been feuding for years so when all the spells start going wrong each naturally blames the other then young tonino montana and angelica petrocchi disappear could the terrible rumours of a white devil who threatens caprona be true after all,fantasy,2000,diana wynne jones
the lion the witch and the wardrobe,the bestselling rack edition of the lion the witch and the wardrobe now has a movie still cover and an eightpage movie still insert excellent for homeschool use,fantasy,1961,clive staples lewis
stardust,stardust is an enchanting and enthralling novel from sunday times bestseller and master storyteller neil gaiman charming in every sense of the word and deeply satisfying time out it will delight fans of terry pratchett and jrr tolkiens the hobbit as well as those who loved the feature film starring robert de niro claire danes rupert everett and michelle pfeiffer among others life moves at a leisurely pace in the tiny town of wall  named after the imposing stone barrier which separates the town from a grassy meadow here young tristran thorn has lost his heart to the beautiful victoria forester and for the coveted prize of her hand tristran vows to retrieve a fallen star and deliver it to his beloved it is an oath that sends him over the ancient wall and into a world that is dangerous and strange beyond imagining    includes extra material exclusive to this headline edition,fantasy,2005,neil gaiman
pippi in the south seas,the adventures of the strongest girl in the world who takes her two friends with her when she travels from sweden to visit her father king of an island in the south seas,fantasy,1959,astrid lindgren
the ickabog,as the legend of the fearsome ickabog spreads terror in the peaceful kingdom of cornucopia best friends bert and daisy set out to discover the truth and bring happiness back to the kingdom,fantasy,2020,j k rowling
green eggs and ham,by combining the funniest stories craziest creatures and zaniest pictures with his unique blend of rhyme rhythm and repitition this book helps children of all ages and abilities learn to read,fantasy,2010,dr seuss
howls moving castle,a new look for one of diana wynne jones funniest and most popular novels,fantasy,2009,diana wynne jones
mistborn,fantasy roman,fantasy,2007,brandon sanderson
percy jackson and the sea of monsters,percy jackson the young demigod is back for his second exciting adventure in the bestselling series by rick riordan you cant tell by looking at me that my dad is poseidon god of the sea its not easy being a halfblood these days you mortals cant even see the monsters we have to fight all the time so when a game of dodgeball turned into a death match against an ugly gang of cannibal giants i couldnt exactly ask my gym teacher for help and that was just for starters this is the one where camp half blood is under attack and unless i get my hands on the golden fleece the whole camp will be invaded by monsters big ones can percy survive the treacherous sea of monsters and restore order to halfblood hill,fantasy,2008,rick riordan
the magicians nephew,when diggory and polly try to return the wicked witch jadis to her own world the magic gets mixed up and they all land in narnia where they witness aslan blessing the animals with human speech,fantasy,2014,c s lewis
a court of thorns and roses,a gorgeously written tale as lush and romantic as it is ferocious  absolutely spellbinding  new york times bestselling author alexandra brackenfeyre is a huntress and when she sees a deer in the forest being pursued by a wolf she kills the predator and takes its prey to feed herself and her sisters but the wolf was not what it seemed and feyre cannot predict the high price she will have to pay for its death dragged away from her family for the murder of a faerie feyre discovers that her captor his face obscured by a jewelled mask is hiding even more than his piercing green eyes suggest as feyres feelings for tamlin turn from hostility to passion she learns that the faerie lands are a far more dangerous place than she realized and feyre must fight to break an ancient curse or she will lose him foreversarah j maas is a global 1 bestselling author her books have sold more than nine million copies and been translated into 37 languages discover the sweeping romantic fantasy for yourselfcontains mature content not suitable for younger readers,fantasy,2015,sarah j maas
moominland midwinter,everyone knows that the moomins sleep through the winter but this year moomintroll discovers that winter is worth waking up for after all,fantasy,1971,tove jansson
eragon,when eragon finds a polished stone in the forest he thinks it is the lucky discovery of a poor farm boy perhaps it will buy his family meat for the winter but when the stone brings a dragon hatchling eragon soon realizes he has stumbled upon a legacy,fantasy,2005,christopher paolini
harry potter and the prisoner of azkaban,during his third year at hogwarts school for witchcraft and wizardry harry potter must confront the devious and dangerous wizard responsible for his parents deaths,fantasy,2013,inc scholastic j k rowling mary grandpré kazu kibuishi
pippi goes aboard,first published oup 1956,fantasy,1977,astrid lindgren
harry potter and the goblet of fire,young wizardintraining harry potter prepares for a competition between hogwarts school of magic and two rival schools develops a crush on cho chang and wishes above all to be a normal fourteenyearold,fantasy,2000,jk rowling
nils,selfish and lazy fourteenyearold nils learns kindness and wisdom after he is bewitched into an elfsized boy and carried off by a barnyard goose to join the migration of wild geese across sweden to lapland,fantasy,2000,selma lagerlof
mary poppins opens the door,mary poppins returns to the banks family in a rocket and involves the banks children in more magical adventures including those with peppermint horses the marble boy and the cat that looked at the king,fantasy,1991,p l travers
charlie and the great glass elevator,mr willy wonka might be a genius with chocolate but charlie and his family dont trust his flying skills one bit and right now hes at the helm of a giant glass elevator thats picking up speed and hurtling through space  with charlie and the entire bucket family stuck inside roald dahls uproarious sequel to charlie and the chocolate factory is certain to delight and entertain a new generation of readers from the hardcover edition,fantasy,1988,roald dahl
quidditch through the ages,did you know that there are 700 ways of committing a foul in quidditch the game first began to evolve on queerditch marsh what bumphing is that puddlemere united is oldest team in the britain and ireland league founded 1163 all this information and much more could be yours once you have read this book this is all you could ever need to know about the history the rules  and the breaking of the rules  of the noble wizarding sport of quidditch,fantasy,2009,j k rowling
the last battle,when evil comes to narnia jill and eustace help fight the great last battle and aslan leads his people to a glorious new paradise,fantasy,1956,clive staples lewis
harry potter and the halfblood prince,sixthyear hogwarts student harry potter gains valuable insights into the boy voldemort once was even as his own world is transformed by maturing friendships schoolwork assistance from an unexpected source and devastating losses,fantasy,2013,j k rowling mary grandpré
anansi boys,charlie nancy leads a normal boring existence in london however when he calls the us to invite his estranged father to his wedding he learns that the man just died after jetting off to florida for the funeral charlie not only discovers a brother he didnt know he had but also learns that his father was the west african trickster god anansi charlies brother who possesses his own magical powers later visits him at home and spins charlies life out of control getting him fired sleeping with his fiancée and even getting him arrested for a whitecollar crime charlie fights back with assistance from other gods and thats when the real trouble begins they lead the brothers into adventures that are at times scary or downright hysterical at first charlie is overwhelmed by this new world but he is anansis son and shows just as much flair for trickery as his brother,fantasy,2006,neil gaiman
the emerald city of oz,all the enchantment of oz is here for a whole new generation to discover in this deluxe new edition,fantasy,1979,lyman frank baum
the road to oz,dorothy and her friends follow the enchanted road to oz and arrive in time for ozmas birthday party,fantasy,1979,lyman frank baum
the annotated wizard of oz,a beloved classic comes to life with this beautifully illustrated annotated edition on the 100th anniversary of oz the wonderful wizard of oz is the quintessential american fairy tale but also one of the most controversial childrens books ever published michael patrick hearn the worlds leading oz scholar provides a spellbinding annotated edition that illuminates all of ozs numerous contemporary references provides fascinating character sources and explains the actual meaning of the word oz a facsimile of the rare 1900 first edition appears with the original drawings by w w denslowscrupulously reproduced to mimic their correct colors using a different color for each region of oz  as well as twentyfive previously unpublished illustrations in addition hearn provides an extensive bibliography compiling baums published work every notable oz edition and the stage and motionpicture productions from 1939s the wizard of oz to the 1974 broadway smash the wiz the result is a classic to rival baums own and a book no familys library can do without 90 blackandwhite 56 color and twocolor illustrations throughout,fantasy,2000,lyman frank baum
